date,net_worth
2025-05-02,1000000.0
2025-05-03,1000000.0
2025-05-04,1000000.0
2025-05-05,996129.0771484376
2025-05-06,996015.2221679688
2025-05-07,995676.6670227052
2025-05-08,995800.5058288574
2025-05-09,995852.4375915529
2025-05-10,995852.4375915529
2025-05-11,995852.4375915529
2025-05-12,995852.4375915529
2025-05-13,995852.4375915529
2025-05-14,995852.4375915529
2025-05-15,995852.4375915529
2025-05-16,995852.4375915529
2025-05-17,995852.4375915529
2025-05-18,995852.4375915529
2025-05-19,994860.4393005372
2025-05-20,994476.439666748
2025-05-21,993999.439239502
2025-05-23,993828.9394378662
2025-05-24,993828.9394378662
2025-05-26,993828.9394378662
2025-05-27,993828.9394378662
2025-05-28,993828.9394378662
2025-05-29,993358.9382171631
2025-05-30,994123.9459991455ok
2025-05-31,994123.9459991455
