date,net_worth
2025-05-02,1000000.0
2025-05-03,1000000.0
2025-05-04,1000000.0
2025-05-05,990322.6928710938
2025-05-06,990322.6928710938
2025-05-07,990322.6928710938
2025-05-08,990322.6928710938
2025-05-09,994996.5515136718
2025-05-10,994996.5515136718
2025-05-11,994996.5515136718
2025-05-12,1051336.5020751953
2025-05-13,1056151.5007019043
2025-05-14,1055476.511001587
2025-05-15,1054486.5055084229
2025-05-16,1054253.7525177002
2025-05-17,1054253.7525177002
2025-05-18,1054253.7525177002
2025-05-19,1052455.7556152344
2025-05-20,1050871.7571258545
2025-05-21,1048906.5153656006
2025-05-23,1047501.5970001221
2025-05-24,1047501.5970001221
2025-05-25,1047501.5970001221
2025-05-26,1047501.5970001221
2025-05-27,1047501.5970001221
2025-05-28,1047501.5970001221
2025-05-29,1047501.5970001221
2025-05-30,1052001.6427764893
2025-05-31,1052001.6427764893
