date,net_worth
2025-05-01,1000000.0
2025-05-02,1002586.5494537354
2025-05-03,1002586.5494537354
2025-05-04,1002586.5494537354
2025-05-05,1002215.9492874146
2025-05-06,1002035.3500747681
2025-05-07,1004657.7475738525
2025-05-08,1004919.7019577026
2025-05-09,1004455.3011703491
2025-05-10,1004455.3011703491
2025-05-11,1004455.3011703491
2025-05-12,1007916.0503387451
2025-05-13,1009801.0083465576
2025-05-14,1011813.5297088623
2025-05-16,1011841.8485565186
2025-05-17,1011841.8485565186
2025-05-18,1011841.8485565186
2025-05-19,1011907.473739624
2025-05-20,1011329.1325531006
2025-05-21,1009817.2514801025
2025-05-25,1009817.2514801025
2025-05-26,1009817.2514801025
2025-05-27,1039287.2984771729
2025-05-28,1034457.2813873291
2025-05-29,1065117.3155670166
2025-05-30,1036697.3326568604
2025-05-31,1036697.3326568604
