date,net_worth
2025-05-01,1000000.0
2025-05-02,1000000.0
2025-05-03,1000000.0
2025-05-04,1000000.0
2025-05-05,997595.3063354492
2025-05-06,996745.8757019043
2025-05-07,996809.385345459
2025-05-08,997179.1856079102
2025-05-09,997757.1057128906
2025-05-10,997757.1057128906
2025-05-11,997757.1057128906
2025-05-12,1001841.4647216797
2025-05-13,1006595.5354614258
2025-05-14,1012080.3595581055
2025-05-15,1009635.7869262695
2025-05-16,1011805.2680358887
2025-05-17,1011805.2680358887
2025-05-18,1011805.2680358887
2025-05-19,1008625.5921325684
2025-05-20,1008976.784362793
2025-05-21,1008029.1831054688
2025-05-22,1008369.4438171387
2025-05-23,1008279.343170166
2025-05-24,1008279.343170166
2025-05-25,1008279.343170166
2025-05-26,1008279.343170166
2025-05-27,1008820.9935913086
2025-05-28,1008623.3229064941
2025-05-29,1008689.1128540039
2025-05-30,1008054.7027893066
2025-05-31,1008054.7027893066
